Year,S&P 500,TBills,Treasuries,Corporates
1928,0.45493157903462444,0.042856147059308514,0.02014833747484457,0.04426798358009876
1929,-0.08831102325510076,0.025602277878963742,0.03597963267134219,0.024189104515831783
1930,-0.20007858972429649,0.11693169089356137,0.11683480932728285,0.07408959860949627
1931,-0.3806743417915991,0.1282130113803841,0.07452220259531717,-0.07017841206877595
1932,0.01818430468817467,0.12642897495854877,0.21247208853971733,0.3774107878810664
1933,0.4884599464877515,0.0019515030066485917,0.010836400147690162,0.12111082537887063
1934,-0.02663361771214723,-0.012183567346023327,0.0635204953936983,0.17043051474073234
1935,0.42487081916467706,-0.027359014272651194,0.014438769907682891,0.10023454725698766
1936,0.30058498468892636,-0.012585402281810154,0.03517615309389144,0.09792613483232904
1937,-0.371329289871034,-0.025096037734149035,-0.014369385930368517,-0.07071294889200941
1938,0.3297644718299584,0.02924002352548616,0.07190772368913834,0.12356909473664968
1939,-0.010975646879756495,0.00045833333333322734,0.04412261394206074,0.07983137765346138
1940,-0.1130640269044394,-0.006736448885919621,0.04654941812412661,0.07877578422667675
1941,-0.2065016424822217,-0.08914759709926912,-0.10871807154993018,-0.04477347707016255
1942,0.09301378276406314,-0.07969898083374582,-0.0617926452460178,-0.035332285667941665
1943,0.214675941850212,-0.02504482870684499,-0.004551150569481521,0.04939938041206404
1944,0.1635583093010624,-0.01875729785818714,0.0027249686375458992,0.04171125665885933
1945,0.3283600687446706,-0.018261528752037015,0.015230025802408065,0.044526167201444755
1946,-0.22484209777969133,-0.15027164134454152,-0.12700633167349695,-0.13225759503070944
1947,-0.033418809614836564,-0.07567610991375706,-0.07274638144175838,-0.07878821749788578
1948,0.026343207745872954,-0.01889914162777584,-0.010101936215894614,0.004325694613585007
1949,0.20809649399333563,0.0325726821799186,0.06880933216139229,0.07609872379230564
1950,0.23480432778056382,-0.044640502761829515,-0.051944585860475456,-0.015985533145992714
1951,0.16677795325039924,-0.04228773584905676,-0.05938975398191704,-0.058405480311449987
1952,0.172659589954141,0.009605306828305293,0.015019407446425825,0.0365890700181597
1953,-0.01942712658748813,0.011332843535545978,0.03369540379740377,0.00864576187454591
1954,0.5370611080465644,0.016944211854047042,0.04063505210700602,0.06953090715934707
1955,0.3210256810271326,0.01345430957435112,-0.017045849468604102,0.016639280944527934
1956,0.04325327810478674,-0.0034720566777299844,-0.05088935529504823,-0.0518300778740266
1957,-0.1297968745775132,0.003172542275862833,0.03788647018471081,-0.035155776638779224
1958,0.41233455268669106,0.00010095594337666824,-0.03792803592597627,0.045887452833750286
